| 村人 | MBTI | 一言個性 | 気質 | 殺害 | 侵入された | 許し | 最期 |
|---|---|---|---|---|---|---|---|
| 月島レン#153 | ESTJ | 好奇心旺盛 | 自分本位ぎみ・短気・程々 | **6** | 11 | 0 | 殺害された |
| 真砂アル#ef2 | ESFJ | 強欲 | 面倒見が良い・短気・向上心が強い | **3** | 3 | 0 | 殺害された |
| 小柳ジン#080 | ENFP | 頑固 | ほどほど・短気・向上心が強い | **2** | 2 | 0 | 殺害された |
| 川原フウ#f33 | ENFP | 心配性 | 自分本位ぎみ・好戦的・程々 | **2** | 5 | 1 | 生存 |
| 南田ボブ#4f3 | ENFJ | 心配性 | 利己的・並・程々 | **1** | 1 | 0 | 殺害された |
| 大川イオ#5c4 | ESFJ | 心配性 | 利己的・とても穏やか・野心的 | **1** | 1 | 1 | 殺害された |
| ★大川タケル#f91 | ISTJ | 正義感が強い | 面倒見が良い・並・野心的 | **1** | 0 | 0 | 殺害された |
| 小柳イオ#e51 | ESFJ | 皮肉屋 | 利己的・とても穏やか・野心的 | **1** | 1 | 0 | 殺害された |
| 小柳ハル#dea | ESFJ | 正義感が強い | 利己的・好戦的・程々 | **1** | 2 | 0 | 殺害された |
| ★東雲カイ#a50 | INFP | 頑固 | 利己的・短気・向上心が強い | **1** | 0 | 0 | 生存 |
| 桜井ボブ#482 | ESFP | 頑固 | 強く協調的・温厚・無欲 | **1** | 3 | 7 | 生存 |
| 真砂コウ#124 | INFP | 強欲 | 自分本位ぎみ・並・野心的 | **1** | 2 | 0 | 殺害された |
| 西森ミオ#781 | INFJ | 好奇心旺盛 | 自分本位ぎみ・短気・満足しがち | **1** | 3 | 0 | 殺害された |
| 谷口アル#a65 | INTJ | のんき | ほどほど・好戦的・無欲 | **1** | 2 | 0 | 生存 |
| ★風間タケル#ab9 | ESFP | 頑固 | 自分本位ぎみ・とても穏やか・野心的 | **1** | 0 | 0 | 生存 |
| 大川オト#72a | ESFJ | 心配性 | ほどほど・好戦的・野心的 | 0 | 0 | 0 | 殺害された |
| 大川カイ#40f | ESTJ | 頑固 | 面倒見が良い・温厚・満足しがち | 0 | 0 | 0 | 殺害された |
| ★大川タケル#e00 | ESFJ | 皮肉屋 | 面倒見が良い・好戦的・野心的 | 0 | 0 | 0 | 生存 |
| ★小柳ダイキ#9e7 | ESTJ | 臆病 | 利己的・並・程々 | 0 | 0 | 0 | 生存 |
| 小柳ナギ#9e9 | ESFP | 負けず嫌い | 利己的・並・無欲 | 0 | 0 | 0 | 殺害された |
| ★小柳ハルト#10d | ESFP | 皮肉屋 | 利己的・とても穏やか・満足しがち | 0 | 0 | 0 | 殺害された |
| 川原コウ#cb6 | ENTJ | 正義感が強い | 利己的・短気・向上心が強い | 0 | 0 | 0 | 殺害された |
| 東雲エマ#e65 | ISFP | 正義感が強い | 利己的・短気・無欲 | 0 | 0 | 0 | 殺害された |
| 東雲ソラ#358 | ENTP | 臆病 | 強く協調的・好戦的・向上心が強い | 0 | 0 | 0 | 殺害された |
| 林カイ#48a | ISFP | 皮肉屋 | 強く協調的・温厚・程々 | 0 | 0 | 0 | 生存 |
| 林ソラ#017 | ISTP | 正義感が強い | 利己的・短気・向上心が強い | 0 | 0 | 0 | 生存 |
| 柏木ダイ#8f4 | ENFP | 強欲 | ほどほど・温厚・無欲 | 0 | 0 | 0 | 殺害された |
| ★桜井コハル#d87 | ESFJ | 正義感が強い | 面倒見が良い・並・無欲 | 0 | 0 | 0 | 生存 |
| 森野ミオ#e1a | ESFP | 怒りっぽい | ほどほど・短気・満足しがち | 0 | 0 | 0 | 生存 |
| ★榎本アキ#01c | ENTJ | 怒りっぽい | 強く協調的・短気・満足しがち | 0 | 0 | 0 | 生存 |
| 榎本ソラ#3f3 | ESFP | 好奇心旺盛 | 面倒見が良い・温厚・満足しがち | 0 | 1 | 1 | 生存 |
| 榎本ハル#0c8 | ISTP | 世話好き | 強く協調的・短気・程々 | 0 | 1 | 0 | 殺害された |
| 浜田イオ#796 | INFJ | 心配性 | 利己的・温厚・程々 | 0 | 4 | 2 | 生存 |
| 石川エマ#0c5 | INTJ | 頑固 | 自分本位ぎみ・好戦的・満足しがち | 0 | 0 | 0 | 殺害された |
| 石川ソラ#b94 | ESTP | 頑固 | 自分本位ぎみ・温厚・無欲 | 0 | 0 | 0 | 殺害された |
| 石川ナギ#6c2 | ISTP | 世話好き | 面倒見が良い・温厚・野心的 | 0 | 0 | 0 | 生存 |
| 西森オト#ff3 | INTP | 臆病 | 面倒見が良い・とても穏やか・満足しがち | 0 | 11 | 2 | 殺害された |
| 谷口ジン#e39 | ENTP | 怒りっぽい | 利己的・並・満足しがち | 0 | 0 | 0 | 殺害された |
| ★風間の子#38f | ENTP | 正義感が強い | ほどほど・温厚・満足しがち | 0 | 0 | 0 | 生存 |
| 風間エマ#b5b | INFJ | 心配性 | 面倒見が良い・短気・野心的 | 0 | 0 | 0 | 生存 |
| ★風間カイトトウマ#101 | ESFJ | 世話好き | ほどほど・短気・野心的 | 0 | 0 | 0 | 殺害された |
| 風間ダイ#f7c | INTP | 心配性 | 強く協調的・並・程々 | 0 | 2 | 2 | 生存 |
