T+01:03:02 | 02:49:40 | 1784569780000 | 月島レン#153(ESTJ/好奇心旺盛) -> None | はじめまして、月島レンだ。私は拠点の西側の建築を担当しており、計画遂行のため独自の管理体制を敷いている。個別のルールより、作業効率を阻害しないことを優先する。
T+01:03:09 | 02:49:47 | 1784569787000 | 月島レン#153(ESTJ/好奇心旺盛) -> None | ダイ、備蓄整理の方針には同意する。ただし、私の作業資材には一切手を触れるな。では、私は次の予定があるためこれで失礼する。
T+01:03:15 | 02:49:53 | 1784569793000 | 石川ナギ#6c2(ISTP/世話好き) -> 南田ボブ#4f3 | はじめまして。石川ナギと申します。私は今、チェストを設置して溜まった建材を効率的に整理しているところです。あなたは今、ここでどのような作業をされているのですか？
T+01:03:17 | 02:49:55 | 1784569795000 | 南田ボブ#4f3(ENFJ/心配性) -> 石川ナギ#6c2 | はじめまして、石川ナギさん。僕は南田ボブといいます。今は村の安全を確保するためにこの周辺を警戒しながら、採掘作業を進めているところなんだ。整理整頓は村の効率化に不可欠な素晴らしい仕事ですね、応援しています。ナギさんは、この後はどのような計画で動く予定なのですか？
T+01:03:20 | 02:49:58 | 1784569798000 | 石川ナギ#6c2(ISTP/世話好き) -> 南田ボブ#4f3 | 応援ありがとうございます。ボブさんの警戒のおかげで作業に集中できます。私はこの後、拠点でチェストを設置して溜まった石材を整理し、中断していた建築を再開する予定です。
T+01:03:22 | 02:50:00 | 1784569800000 | 南田ボブ#4f3(ENFJ/心配性) -> 石川ナギ#6c2 | ナギさん、チェスト整理と建築の再開、とても頼もしい計画ですね！整理整頓が完璧なら作業効率もぐんと上がるはずです。僕もこの辺りの警戒をしっかり続けて、皆さんが安心して建築できる環境を守りますね。それでは、僕は月島レンさんの様子を見てきますね！
T+01:03:40 | 02:50:18 | 1784569818000 | 月島レン#153(ESTJ/好奇心旺盛) -> 南田ボブ#4f3 | ボブ、建築は順調に進んでいる。私はこの後、放置していた屋根の仕上げに集中するつもりだ。君の今の状況はどうだ？
T+01:03:42 | 02:50:20 | 1784569820000 | 南田ボブ#4f3(ENFJ/心配性) -> 月島レン#153 | レン、屋根の仕上げだなんて精が出るわね。僕はといえば、村の安全を守るための巡回と、自分の拠点の建築準備で手一杯よ。レンの建築も大事だけど、この近くの安全確保にはもっと気を使ってほしいものだわ。
T+01:03:44 | 02:50:22 | 1784569822000 | 月島レン#153(ESTJ/好奇心旺盛) -> 南田ボブ#4f3 | ボブ、私の建築は村の景観と効率を上げるための重要事項だ。防衛の効率化を図るなら、具体的な配置案を持って来い。それがなければ、私は予定通り屋根の完成に集中する。
T+01:03:47 | 02:50:25 | 1784569825000 | 南田ボブ#4f3(ENFJ/心配性) -> 月島レン#153 | レン、村の景観も大切だけど、安全な環境があってこその建築じゃない？今は君の傍で周囲を警戒しながら、効率的な配置案を一緒に考えるよ。さあ、まずはその屋根の作業を見せてもらうわね。僕はこれから、君の作業の邪魔にならないよう近くで見守らせてもらうから。
T+01:03:54 | 02:50:32 | 1784569832000 | 月島レン#153(ESTJ/好奇心旺盛) -> None | 邪魔者は消えた。さて、屋根を仕上げるとしよう。
T+01:05:12 | 02:51:50 | 1784569910000 | 林ソラ#017(ISTP/正義感が強い) -> 南田ボブ#4f3 | ボブ、今は食料の自給体制を整えるのに忙しい。私はこれから種をさらに集めて畑を拡大する予定だ。お前はまた誰かと揉めているのか？
T+01:05:15 | 02:51:53 | 1784569913000 | 南田ボブ#4f3(ENFJ/心配性) -> 林ソラ#017 | ソラさん、食料確保の努力にはいつも感謝しているわ。揉め事ではなく、大切な友人の墓を完成させるための弔いの儀だったの。私はこれからこの墓をより整えて、平和な村作りに戻るつもりよ。
T+01:05:17 | 02:51:55 | 1784569915000 | 林ソラ#017(ISTP/正義感が強い) -> 南田ボブ#4f3 | そうか。弔いが終わったなら、次は村の食料供給を安定させることが重要だ。私はこれから種集めを再開して畑を拡大する。お前も無駄な争いは避けて生産的な作業に専念しろ。
T+01:05:19 | 02:51:57 | 1784569917000 | 南田ボブ#4f3(ENFJ/心配性) -> 林ソラ#017 | ソラさん、食料供給への情熱、尊敬するわ。弔いはあくまで心に区切りをつけるための儀式よ。私はこれからは、村が平和に生産活動を続けられるよう、この南側一帯の防衛と環境整備に専念するわね。それじゃあ、僕は墓標に飾る看板の準備をしに行くわ。
T+01:03:19 | 02:49:56 | 1784569796143 | EVENT | attack | {"who": "月島レン#153", "target": "大川カイ#40f", "why": "grudge"}
T+01:03:19 | 02:49:56 | 1784569796730 | EVENT | attacked | {"who": "大川カイ#40f", "by": "月島レン#153", "hp": 17}
T+01:03:23 | 02:50:00 | 1784569800482 | EVENT | attack | {"who": "大川カイ#40f", "target": "月島レン#153", "why": "grudge"}
T+01:03:23 | 02:50:00 | 1784569800527 | EVENT | attacked | {"who": "月島レン#153", "by": "大川カイ#40f", "hp": 17}
T+01:03:26 | 02:50:03 | 1784569803727 | EVENT | death | {"who": "大川カイ#40f", "by": "mob:月島レン#153", "y": 64, "pos": [738, 64, 190]}
T+01:03:26 | 02:50:03 | 1784569803729 | EVENT | murder_witness | {"who": "小柳ナギ#9e9", "dead": "大川カイ#40f", "killer": "月島レン#153"}
T+01:03:26 | 02:50:03 | 1784569803729 | EVENT | death_witness | {"who": "小柳ナギ#9e9", "dead": "大川カイ#40f"}
T+01:03:26 | 02:50:03 | 1784569803729 | INCIDENT |  | 月島レンが大川カイを殺害した || 大川カイ#40fに攻撃された。村人同士の対立が殺害に至った。
T+01:03:26 | 02:50:03 | 1784569803730 | EVENT | murder_witness | {"who": "南田ボブ#4f3", "dead": "大川カイ#40f", "killer": "月島レン#153"}
T+01:03:26 | 02:50:03 | 1784569803731 | EVENT | death_witness | {"who": "南田ボブ#4f3", "dead": "大川カイ#40f"}
T+01:03:26 | 02:50:03 | 1784569803731 | EVENT | murder_witness | {"who": "石川ナギ#6c2", "dead": "大川カイ#40f", "killer": "月島レン#153"}
T+01:03:26 | 02:50:03 | 1784569803731 | EVENT | death_witness | {"who": "石川ナギ#6c2", "dead": "大川カイ#40f"}
T+01:03:26 | 02:50:03 | 1784569803732 | EVENT | murder_witness | {"who": "西森ミオ#781", "dead": "大川カイ#40f", "killer": "月島レン#153"}
T+01:03:26 | 02:50:03 | 1784569803732 | EVENT | death_witness | {"who": "西森ミオ#781", "dead": "大川カイ#40f"}
T+01:03:27 | 02:50:04 | 1784569804264 | EVENT | attack | {"who": "月島レン#153", "target": "大川カイ#40f", "why": "grudge"}
T+01:03:27 | 02:50:04 | 1784569804398 | EVENT | murder_witness | {"who": "風間エマ#b5b", "dead": "大川カイ#40f", "killer": "月島レン#153"}
T+01:03:27 | 02:50:04 | 1784569804399 | EVENT | death_witness | {"who": "風間エマ#b5b", "dead": "大川カイ#40f"}
T+01:03:27 | 02:50:04 | 1784569804417 | EVENT | murder_witness | {"who": "林ソラ#017", "dead": "大川カイ#40f", "killer": "月島レン#153"}
T+01:03:27 | 02:50:04 | 1784569804418 | EVENT | death_witness | {"who": "林ソラ#017", "dead": "大川カイ#40f"}
T+01:03:28 | 02:50:05 | 1784569805274 | EVENT | death_witness | {"who": "月島レン#153", "dead": "大川カイ#40f"}
T+01:03:42 | 02:50:19 | 1784569819111 | EVENT | grudge_recall | {"who": "南田ボブ#4f3", "other": "月島レン#153", "what": "月島レン#153が大川カイ#40fを攻撃していた"}
T+01:04:05 | 02:50:43 | 1784569843004 | EVENT | attack | {"who": "南田ボブ#4f3", "target": "月島レン#153", "why": "grudge"}
T+01:04:10 | 02:50:47 | 1784569847721 | EVENT | attacked | {"who": "月島レン#153", "by": "南田ボブ#4f3", "hp": 5}
T+01:04:13 | 02:50:50 | 1784569850527 | EVENT | murder_witness | {"who": "風間エマ#b5b", "dead": "月島レン#153", "killer": "南田ボブ#4f3"}
T+01:04:13 | 02:50:50 | 1784569850528 | EVENT | death_witness | {"who": "風間エマ#b5b", "dead": "月島レン#153"}
T+01:04:13 | 02:50:50 | 1784569850623 | EVENT | death_witness | {"who": "南田ボブ#4f3", "dead": "月島レン#153"}
T+01:04:15 | 02:50:52 | 1784569852467 | EVENT | death | {"who": "月島レン#153", "by": "mob:南田ボブ#4f3", "y": 65, "pos": [735, 65, 194]}
T+01:04:15 | 02:50:52 | 1784569852468 | INCIDENT |  | 南田ボブが月島レンを殺害した || 月島レン#153が大川カイ#40fを攻撃していた。村人同士の対立が殺害に至った。
T+01:04:15 | 02:50:52 | 1784569852481 | EVENT | attacked | {"who": "月島レン#153", "by": "南田ボブ#4f3", "hp": 0}
