# 東雲カイ#a50 の不満9軸の推移（1分1点）
# T+ | 空腹 睡眠 安全 居住 退屈 停滞 不公平 孤独 過密 | pos
T+00:40:59 |   0   0   0  18   8   9   0   0   0 | [767, 64, 197]
T+00:41:23 |   0   0   0  21   0  18   0   0  11 | [764, 63, 213]
T+00:42:23 |   0   0   0  21  24  41   0   0  19 | [760, 64, 204]
T+00:43:23 |   0   0   0  21  37  52   0   0  24 | [768, 60, 192]
T+00:44:23 |   0   0   0  21  51  64   0   0   0 | [765, 59, 194]
T+00:45:24 |   0   0   0  21  66  76   0   0   0 | [766, 61, 192]
T+00:46:23 |   0   0   0  21  73  81   0   0   3 | [766, 62, 190]
T+00:47:23 |   0   0   1  21   2  88   0   0   0 | [769, 60, 194]
T+00:48:23 |   0   0   1  21  21  91   0   0   0 | [791, 65, 178]
T+00:49:23 |   0   0   1  21  37  95   0   0   0 | [760, 67, 183]
T+00:50:24 |   0  69   3  84   4  96   0   0   3 | [764, 65, 186]
T+00:51:24 |   0  69  12  84  18  97   0   0  15 | [764, 65, 185]
T+00:52:23 |   0   5   3  84  32  97   0   0  14 | [768, 68, 163]
T+00:53:23 |   0  29   1  84  43  98   0   0  20 | [766, 60, 196]
T+00:54:24 |   0   5   1  84  15  98   0   0  11 | [769, 60, 193]
T+00:55:23 |   0   1   5  84  32  99   0   0   9 | [766, 62, 190]
T+00:56:23 |   0   1   3  84  42  99   0   0  10 | [769, 60, 195]
T+00:57:23 |   0   1   1  84  13  99   0   0  13 | [766, 61, 190]
T+00:58:23 |   0   1   2  44  23  99   0   0  17 | [761, 64, 200]
T+00:59:23 |   0   1   1  23  38  99   0   0  18 | [758, 63, 197]
T+01:00:23 |   0   1   1  23  49 100   0   0  28 | [765, 62, 198]
T+01:01:23 |   0   1   1  23  10 100   0   0   0 | [731, 64, 178]
T+01:02:24 |   0   1   1  23   6 100   0   0   0 | [746, 66, 153]
T+01:03:23 |   0   1   1  23   0 100   0   0   0 | [795, 68, 223]
T+01:04:23 |   0   1   1  23   6   7   0   0   0 | [766, 63, 197]
T+01:05:24 |   0   1   1  23   4  22   0   0   0 | [764, 63, 197]
T+01:06:23 |   0   1   1  23  24  41   0   0   0 | [762, 65, 188]
T+01:07:23 |   0   1   1  23  10  11   0   0   0 | [751, 63, 178]
T+01:08:24 |   0   1   1  23  26  29   0   0   0 | [768, 63, 210]
T+01:09:23 |   0   1   1  23   4  42   0   0   0 | [806, 67, 174]
T+01:10:24 |   4  67   2  82  20  53   0   0   0 | [760, 64, 202]
T+01:11:24 |   4  69   6  84  29  59   0   0   2 | [760, 64, 201]
T+01:12:23 |   4  69   6  84  29  59   0   0   2 | [760, 64, 201]
T+01:13:23 |   4  69   6  84  29  59   0   0   2 | [760, 64, 201]
T+01:14:24 |   4  69   6  84  29  59   0   0   2 | [760, 64, 201]
T+01:15:23 |   4  69   6  84  29  59   0   0   2 | [760, 64, 201]
T+01:16:23 |   4  69   6  84  29  59   0   0   2 | [760, 64, 201]
T+01:17:24 |   4  69   6  84  29  59   0   0   2 | [760, 64, 201]
T+01:18:23 |   4   9   1  30  34  62   0   0   7 | [761, 63, 211]
T+01:19:23 |   4   1   1  23  45  69   0   0   9 | [790, 65, 182]
T+01:20:24 |   9   1   1  23  21  80   0   0   0 | [727, 67, 156]
T+01:21:23 |   9   1   1  23  54  89   0   0   0 | [804, 69, 191]
T+01:22:23 |  11   1   1  23  62  92   0   0   0 | [781, 64, 194]
T+01:23:24 |  13   1   1  23   4  94   0   0   0 | [841, 65, 192]
T+01:24:23 |  13   1   1  23   0  95   0   0   0 | [844, 66, 199]
T+01:25:23 |  18   1   1  23  20  96   0   0   0 | [843, 66, 201]
T+01:26:24 |  18   1   1  23  37  97   0   0   0 | [734, 64, 178]
T+01:27:23 |  23   1   1  23  13  15   0   0   0 | [769, 64, 185]
T+01:28:24 |  23   1   1  23  27  30   0   0   1 | [790, 65, 195]
T+01:29:23 |  23   1   1  23  13  15   0   0   9 | [782, 63, 206]
T+01:30:23 |  23  37   4  80   2   2   0   0   0 | [785, 64, 211]
T+01:31:24 |  28  29   1  84  15  17   0   0   9 | [768, 60, 194]
T+01:32:23 |  28  69   1  84  26  29   0   0   4 | [765, 60, 196]
T+01:33:23 |  28  69   1  84   6  42   0   0   0 | [765, 60, 196]
T+01:34:23 |  28  69   1  84  18  50   0   0   0 | [767, 60, 194]
T+01:35:23 |  28  69   1  84  34  61   0   0   0 | [767, 60, 193]
