T+00:40:42   birth              {"father": "東雲ソラ#358", "mother": "西森ミオ#781", "child": "東雲の子#a50", "sex": "m", "e": "birth", "wall": "02:27:19", "epoch": 1784568439418}
T+00:41:30   murder_witness     {"who": "東雲カイ#a50", "dead": "東雲エマ#e65", "killer": "月島レン#153", "e": "murder_witness", "wall": "02:28:07", "epoch": 1784568487448}
T+00:41:30   death_witness      {"who": "東雲カイ#a50", "dead": "東雲エマ#e65", "e": "death_witness", "wall": "02:28:07", "epoch": 1784568487449}
T+00:41:57   murder_witness     {"who": "東雲カイ#a50", "dead": "西森オト#ff3", "killer": "月島レン#153", "e": "murder_witness", "wall": "02:28:34", "epoch": 1784568514393}
T+00:41:57   death_witness      {"who": "東雲カイ#a50", "dead": "西森オト#ff3", "e": "death_witness", "wall": "02:28:34", "epoch": 1784568514394}
T+01:26:45   scout              {"who": "東雲カイ#a50", "e": "scout", "wall": "03:13:22", "epoch": 1784571202327}
T+01:42:40   scout              {"who": "東雲カイ#a50", "e": "scout", "wall": "03:29:17", "epoch": 1784572157576}
T+02:41:42   scout              {"who": "東雲カイ#a50", "e": "scout", "wall": "04:28:19", "epoch": 1784575699279}
T+02:51:09   murder_witness     {"who": "東雲カイ#a50", "dead": "南田ボブ#4f3", "killer": "小柳イオ#e51", "e": "murder_witness", "wall": "04:37:46", "epoch": 1784576266277}
T+02:51:09   death_witness      {"who": "東雲カイ#a50", "dead": "南田ボブ#4f3", "e": "death_witness", "wall": "04:37:46", "epoch": 1784576266278}
T+02:52:57   scout              {"who": "東雲カイ#a50", "e": "scout", "wall": "04:39:35", "epoch": 1784576375028}
T+02:56:50   grave              {"who": "東雲カイ#a50", "dead": "南田ボブ#4f3", "e": "grave", "wall": "04:43:27", "epoch": 1784576607862}
T+03:22:22   murder_witness     {"who": "東雲カイ#a50", "dead": "小柳ナギ#9e9", "killer": "西森ミオ#781", "e": "murder_witness", "wall": "05:08:59", "epoch": 1784578139618}
T+03:22:22   death_witness      {"who": "東雲カイ#a50", "dead": "小柳ナギ#9e9", "e": "death_witness", "wall": "05:08:59", "epoch": 1784578139618}
T+03:23:09   murder_witness     {"who": "東雲カイ#a50", "dead": "西森ミオ#781", "killer": "真砂アル#ef2", "e": "murder_witness", "wall": "05:09:46", "epoch": 1784578186659}
