# 東雲カイ#a50 停滞ゲージのリセット（目標達成＝goals_doneで下がる）
T+01:04:23   停滞 100 -> 7  （直前に目標を達成＝リセット）
T+01:27:23   停滞 97 -> 15  （直前に目標を達成＝リセット）
T+01:37:23   停滞 70 -> 0  （直前に目標を達成＝リセット）
T+01:43:23   停滞 67 -> 13  （直前に目標を達成＝リセット）
T+01:54:24   停滞 85 -> 15  （直前に目標を達成＝リセット）
T+02:12:23   停滞 95 -> 0  （直前に目標を達成＝リセット）
T+02:20:23   停滞 70 -> 0  （直前に目標を達成＝リセット）
T+02:42:23   停滞 97 -> 11  （直前に目標を達成＝リセット）
T+02:50:23   停滞 79 -> 15  （直前に目標を達成＝リセット）
T+02:53:23   停滞 41 -> 7  （直前に目標を達成＝リセット）
T+02:57:23   停滞 61 -> 7  （直前に目標を達成＝リセット）
T+03:19:24   停滞 99 -> 13  （直前に目標を達成＝リセット）
T+03:33:24   停滞 96 -> 13  （直前に目標を達成＝リセット）
T+03:57:23   停滞 100 -> 2  （直前に目標を達成＝リセット）
T+04:10:23   停滞 95 -> 15  （直前に目標を達成＝リセット）
T+04:20:23   停滞 87 -> 20  （直前に目標を達成＝リセット）
T+04:35:23   停滞 97 -> 22  （直前に目標を達成＝リセット）
T+04:45:23   停滞 85 -> 15  （直前に目標を達成＝リセット）
T+04:49:24   停滞 65 -> 4  （直前に目標を達成＝リセット）
T+04:57:23   停滞 80 -> 11  （直前に目標を達成＝リセット）
T+05:00:23   停滞 68 -> 15  （直前に目標を達成＝リセット）
T+05:13:23   停滞 98 -> 7  （直前に目標を達成＝リセット）

# リセット回数: 22

# 停滞が95以上だった区間
  T+00:49:23  〜 T+01:04:23 
  T+01:24:23  〜 T+01:27:23 
  T+02:11:24  〜 T+02:12:23 
  T+02:37:24  〜 T+02:42:23 
  T+03:12:23  〜 T+03:19:24 
  T+03:31:23  〜 T+03:33:24 
  T+03:44:24  〜 T+03:57:23 
  T+04:09:23  〜 T+04:10:23 
  T+04:32:23  〜 T+04:35:23 
  T+05:09:23  〜 T+05:13:23 
  T+05:24:23  〜 (最後まで)

# CSV(グラフ用): T+,停滞,退屈,居住,過密,孤独
T+00:40:59 ,9,8,18,0,0
T+00:41:23 ,18,0,21,11,0
T+00:42:23 ,41,24,21,19,0
T+00:43:23 ,52,37,21,24,0
T+00:44:23 ,64,51,21,0,0
T+00:45:24 ,76,66,21,0,0
T+00:46:23 ,81,73,21,3,0
T+00:47:23 ,88,2,21,0,0
T+00:48:23 ,91,21,21,0,0
T+00:49:23 ,95,37,21,0,0
T+00:50:24 ,96,4,84,3,0
T+00:51:24 ,97,18,84,15,0
T+00:52:23 ,97,32,84,14,0
T+00:53:23 ,98,43,84,20,0
T+00:54:24 ,98,15,84,11,0
T+00:55:23 ,99,32,84,9,0
T+00:56:23 ,99,42,84,10,0
T+00:57:23 ,99,13,84,13,0
T+00:58:23 ,99,23,44,17,0
T+00:59:23 ,99,38,23,18,0
T+01:00:23 ,100,49,23,28,0
T+01:01:23 ,100,10,23,0,0
T+01:02:24 ,100,6,23,0,0
T+01:03:23 ,100,0,23,0,0
T+01:04:23 ,7,6,23,0,0
T+01:05:24 ,22,4,23,0,0
T+01:06:23 ,41,24,23,0,0
T+01:07:23 ,11,10,23,0,0
T+01:08:24 ,29,26,23,0,0
T+01:09:23 ,42,4,23,0,0
T+01:10:24 ,53,20,82,0,0
T+01:11:24 ,59,29,84,2,0
T+01:12:23 ,59,29,84,2,0
T+01:13:23 ,59,29,84,2,0
T+01:14:24 ,59,29,84,2,0
T+01:15:23 ,59,29,84,2,0
T+01:16:23 ,59,29,84,2,0
T+01:17:24 ,59,29,84,2,0
T+01:18:23 ,62,34,30,7,0
T+01:19:23 ,69,45,23,9,0
T+01:20:24 ,80,21,23,0,0
T+01:21:23 ,89,54,23,0,0
T+01:22:23 ,92,62,23,0,0
T+01:23:24 ,94,4,23,0,0
T+01:24:23 ,95,0,23,0,0
T+01:25:23 ,96,20,23,0,0
T+01:26:24 ,97,37,23,0,0
T+01:27:23 ,15,13,23,0,0
T+01:28:24 ,30,27,23,1,0
T+01:29:23 ,15,13,23,9,0
T+01:30:23 ,2,2,80,0,0
T+01:31:24 ,17,15,84,9,0
T+01:32:23 ,29,26,84,4,0
T+01:33:23 ,42,6,84,0,0
T+01:34:23 ,50,18,84,0,0
T+01:35:23 ,61,34,84,0,0
T+01:36:23 ,70,11,84,0,0
T+01:37:23 ,0,0,20,0,0
T+01:38:24 ,17,8,7,0,0
T+01:39:23 ,34,24,1,0,0
T+01:40:23 ,48,39,1,0,0
T+01:41:23 ,57,48,1,0,0
T+01:42:23 ,67,59,1,4,0
T+01:43:23 ,13,0,1,0,0
T+01:44:23 ,26,0,1,0,0
T+01:45:23 ,11,0,1,0,0
T+01:46:24 ,29,0,1,0,0
T+01:47:23 ,45,2,1,0,0
T+01:48:24 ,56,0,1,0,0
T+01:49:23 ,65,15,1,0,0
T+01:50:23 ,73,33,17,3,0
T+01:51:24 ,77,42,17,0,0
T+01:52:23 ,81,2,17,0,0
T+01:53:23 ,85,18,17,0,0
T+01:54:24 ,15,10,17,0,0
T+01:55:23 ,9,8,17,0,0
T+01:56:23 ,22,20,17,0,0
T+01:57:23 ,7,6,17,1,0
T+01:58:23 ,24,21,6,38,0
T+01:59:24 ,35,32,1,42,0
T+02:00:23 ,45,41,1,54,0
T+02:01:23 ,53,11,1,58,0
T+02:02:23 ,61,26,1,63,0
T+02:03:23 ,67,36,1,64,0
T+02:04:24 ,73,13,1,61,0
T+02:05:23 ,77,24,1,59,0
T+02:06:24 ,81,37,1,66,0
T+02:07:23 ,84,45,1,66,0
T+02:08:24 ,87,54,9,69,0
T+02:09:23 ,91,66,3,31,0
T+02:10:23 ,92,10,17,0,0
T+02:11:24 ,95,41,17,0,0
T+02:12:23 ,0,0,17,0,0
T+02:13:23 ,11,10,17,0,0
T+02:14:24 ,27,24,17,0,0
T+02:15:23 ,41,37,17,0,0
T+02:16:23 ,50,46,17,0,0
T+02:17:23 ,58,53,17,0,0
T+02:18:23 ,64,59,4,0,0
T+02:19:24 ,70,65,1,0,0
T+02:20:23 ,0,0,1,0,0
T+02:21:23 ,13,11,1,0,0
T+02:22:24 ,24,21,1,0,0
