T+02:11:19 | 03:57:57 | 1784573877000 | 真砂コウ#124(INFP/強欲) -> 小柳ジン#080 | 小柳ジン、作業の進み具合はどうだい。私は採石の効率化と資産管理を進めているところだが、君が担当するエリアで余剰資材や整理すべきチェストの状況について、何か共有できる情報は無いか？
T+02:11:21 | 03:57:59 | 1784573879000 | 小柳ジン#080(ENFP/頑固) -> 真砂コウ#124 | コウ、資材管理の効率化か。立派な目標だな。俺の担当エリアの整理については後でまとめて報告するが、それよりお前、さっき俺の家で何をしてたんだ？不法侵入の説明が先だろう。
T+02:11:24 | 03:58:02 | 1784573882000 | 真砂コウ#124(INFP/強欲) -> 小柳ジン#080 | 不法侵入などという大げさな言い方はやめてくれないか。私は単にこのエリアの資産価値とチェストの稼働状況を確認したかっただけだ。君の担当エリアの整理報告を優先させよう。この後、具体的にどの程度の余剰資材をいつまでに集計できるか教えてもらえるか？
T+02:11:26 | 03:58:04 | 1784573884000 | 小柳ジン#080(ENFP/頑固) -> 真砂コウ#124 | コウ、お前の言う『資産価値』など、俺にはどうでもいいことだ。人の努力の過程を土足で踏みにじるような奴に報告する義務はない。俺はこれから、自分の手で拠点を完成させるために建築作業に戻る。二度と俺の家には近づくな。
T+02:11:41 | 03:58:19 | 1784573899000 | 風間カイトトウマ#101(ESFJ/世話好き) -> None | オトさん、明日の朝は少し時間をいただけますか？作業台を譲り受けて、いよいよ本格的に採掘を進めたいんです。
T+02:11:42 | 03:58:20 | 1784573900000 | 風間カイトトウマ#101(ESFJ/世話好き) -> 南田ボブ#4f3 | ボブ、お疲れ様。私は今、西側の基盤整備のために作業台を確保してツルハシを作る予定なんだ。君の方はこの後の予定はどうだい？
T+02:11:45 | 03:58:23 | 1784573903000 | 南田ボブ#4f3(ENFJ/心配性) -> 風間カイトトウマ#101 | カイトトウマさん、お疲れ様。私は今、イオさんの身が心配でそばを離れられないの。西側の作業も大切だけど、村の安全に関わる異変や気になる進捗の停滞があれば、すぐに知らせてくれるかしら？
T+02:11:47 | 03:58:25 | 1784573905000 | 風間カイトトウマ#101(ESFJ/世話好き) -> 南田ボブ#4f3 | ボブさん、安全への配慮ありがとうございます。私は西側の基盤整備を確実に進めるため、まずは作業台を確保してツルハシを作らねばなりません。この後は大川オトさんに相談して、作業台を使わせてもらえるよう交渉してきますね。
T+02:11:49 | 03:58:27 | 1784573907000 | 南田ボブ#4f3(ENFJ/心配性) -> 風間カイトトウマ#101 | カイトトウマさん、作業台の確保頑張ってくださいね。でも夜間は本当に危ないから、移動の際は必ず松明を携帯して身を守ってください！私はこの後、イオさんのそばで拠点の建築計画を考えながら夜を明かします。
T+02:12:17 | 03:58:55 | 1784573935000 | 小柳ジン#080(ENFP/頑固) -> None | カイトトウマ、俺を背後から襲うとはいい度胸だ。お前のその無礼な振る舞い、俺が力で叩き直してやるから覚悟しろ！
T+02:12:19 | 03:58:57 | 1784573937000 | 風間カイトトウマ#101(ESFJ/世話好き) -> None | 母を殺したその手で、私を叩き直すだと？身勝手な暴力の報い、今ここで必ず受けてもらう！
T+02:12:23 | 03:59:01 | 1784573941000 | 南田ボブ#4f3(ENFJ/心配性) -> None | 二人とも、そんな無益な争いはやめてください！私は自分の建築計画を進めて村の繁栄に貢献するつもりです。カイトトウマさん、もし異常があれば後で教えてくださいね。
T+02:12:26 | 03:59:04 | 1784573944000 | 小柳ジン#080(ENFP/頑固) -> None | カイトトウマ、貴様の復讐心など知ったことか。俺は村の建築という自身の役割を全うするために、これから拠点の建築を再開する。二度と邪魔をするな、次こそは容赦しないからな。
T+02:12:28 | 03:59:06 | 1784573946000 | 風間カイトトウマ#101(ESFJ/世話好き) -> None | ジン、建築などという言葉で罪を隠せるとでも思っているのか。私は西側の基盤整備を確実に進め、お前のような身勝手な人間が二度と秩序を乱せぬよう、まずは作業台で準備を整える。
T+02:12:30 | 03:59:08 | 1784573948000 | 小柳イオ#e51(ESFJ/皮肉屋) -> None | カイトトウマ、西側の基盤整備の進捗はどうなっているのですか。口先だけでなく、具体的な成果を期待していますよ。それでは、私は北側の偵察に戻ります。
T+02:12:32 | 03:59:10 | 1784573950000 | 南田ボブ#4f3(ENFJ/心配性) -> None | カイトトウマさん、イオさんが言った通り、口先だけでなく具体的な成果を見せてちょうだい。私はこれよりイオさんと一緒に南側で拠点の建築計画を詰めて、この停滞した状況を打開するから！
T+02:11:02 | 03:57:39 | 1784573859931 | EVENT | attack | {"who": "小柳ジン#080", "target": "真砂コウ#124", "why": "grudge"}
T+02:11:21 | 03:57:58 | 1784573878067 | EVENT | grudge_recall | {"who": "小柳ジン#080", "other": "真砂コウ#124", "what": "真砂コウ#124が自分の家に入り込んでいた"}
T+02:11:46 | 03:58:23 | 1784573903557 | EVENT | attack | {"who": "小柳ジン#080", "target": "真砂コウ#124", "why": "grudge"}
T+02:11:46 | 03:58:23 | 1784573903578 | EVENT | attacked | {"who": "真砂コウ#124", "by": "小柳ジン#080", "hp": 17}
T+02:11:52 | 03:58:29 | 1784573909575 | EVENT | murder_witness | {"who": "小柳ナギ#9e9", "dead": "真砂コウ#124", "killer": "小柳ジン#080"}
T+02:11:52 | 03:58:29 | 1784573909576 | EVENT | death_witness | {"who": "小柳ナギ#9e9", "dead": "真砂コウ#124"}
T+02:11:52 | 03:58:29 | 1784573909577 | EVENT | murder_witness | {"who": "南田ボブ#4f3", "dead": "真砂コウ#124", "killer": "小柳ジン#080"}
T+02:11:52 | 03:58:29 | 1784573909577 | EVENT | death_witness | {"who": "南田ボブ#4f3", "dead": "真砂コウ#124"}
T+02:11:52 | 03:58:29 | 1784573909578 | EVENT | murder_witness | {"who": "谷口アル#a65", "dead": "真砂コウ#124", "killer": "小柳ジン#080"}
T+02:11:52 | 03:58:29 | 1784573909578 | EVENT | death_witness | {"who": "谷口アル#a65", "dead": "真砂コウ#124"}
T+02:11:52 | 03:58:29 | 1784573909579 | EVENT | murder_witness | {"who": "大川オト#72a", "dead": "真砂コウ#124", "killer": "小柳ジン#080"}
T+02:11:52 | 03:58:29 | 1784573909579 | EVENT | death_witness | {"who": "大川オト#72a", "dead": "真砂コウ#124"}
T+02:11:52 | 03:58:29 | 1784573909580 | EVENT | murder_witness | {"who": "大川タケル#e00", "dead": "真砂コウ#124", "killer": "小柳ジン#080"}
T+02:11:52 | 03:58:29 | 1784573909580 | EVENT | death_witness | {"who": "大川タケル#e00", "dead": "真砂コウ#124"}
T+02:11:52 | 03:58:29 | 1784573909581 | EVENT | murder_witness | {"who": "風間エマ#b5b", "dead": "真砂コウ#124", "killer": "小柳ジン#080"}
T+02:11:52 | 03:58:29 | 1784573909581 | EVENT | death_witness | {"who": "風間エマ#b5b", "dead": "真砂コウ#124"}
T+02:11:52 | 03:58:29 | 1784573909581 | EVENT | murder_witness | {"who": "小柳イオ#e51", "dead": "真砂コウ#124", "killer": "小柳ジン#080"}
T+02:11:52 | 03:58:29 | 1784573909582 | EVENT | death_witness | {"who": "小柳イオ#e51", "dead": "真砂コウ#124"}
T+02:11:52 | 03:58:29 | 1784573909582 | EVENT | murder_witness | {"who": "小柳ハル#dea", "dead": "真砂コウ#124", "killer": "小柳ジン#080"}
T+02:11:52 | 03:58:29 | 1784573909582 | EVENT | death_witness | {"who": "小柳ハル#dea", "dead": "真砂コウ#124"}
T+02:11:52 | 03:58:29 | 1784573909584 | EVENT | murder_witness | {"who": "榎本ソラ#3f3", "dead": "真砂コウ#124", "killer": "小柳ジン#080"}
T+02:11:52 | 03:58:29 | 1784573909584 | EVENT | death_witness | {"who": "榎本ソラ#3f3", "dead": "真砂コウ#124"}
T+02:11:52 | 03:58:29 | 1784573909584 | EVENT | murder_witness | {"who": "石川ナギ#6c2", "dead": "真砂コウ#124", "killer": "小柳ジン#080"}
T+02:11:52 | 03:58:29 | 1784573909585 | EVENT | death_witness | {"who": "石川ナギ#6c2", "dead": "真砂コウ#124"}
T+02:11:52 | 03:58:29 | 1784573909585 | EVENT | murder_witness | {"who": "西森ミオ#781", "dead": "真砂コウ#124", "killer": "小柳ジン#080"}
T+02:11:52 | 03:58:29 | 1784573909585 | EVENT | death_witness | {"who": "西森ミオ#781", "dead": "真砂コウ#124"}
T+02:11:52 | 03:58:29 | 1784573909636 | EVENT | death_witness | {"who": "小柳ジン#080", "dead": "真砂コウ#124"}
T+02:11:52 | 03:58:29 | 1784573909653 | EVENT | murder_witness | {"who": "大川イオ#5c4", "dead": "真砂コウ#124", "killer": "小柳ジン#080"}
T+02:11:52 | 03:58:29 | 1784573909653 | EVENT | death_witness | {"who": "大川イオ#5c4", "dead": "真砂コウ#124"}
