# name events 5954  kinds={'coin': 249, 'hear': 2977, 'say': 2728}

# label | 命名者(初) | 初出T+ | 聞いた人数 | 伝達回数(say) | グリッド
南側一帯 | 小柳ハル#dea | T+00:01:00 | 41 | 299 | 11,2,11,3,11,4,12,2,12,3
この作業エリア | 榎本ソラ#3f3 | T+00:03:58 | 36 | 187 | 11,2,11,3,12,2,12,3
南側の採石場 | 谷口アル#a65 | T+00:04:49 | 32 | 165 | 11,2,11,3,12,2,12,3
南西の採石場 | 小柳ジン#080 | T+00:00:36 | 31 | 195 | 11,2,11,3,12,2,12,3
西側一帯 | 西森ミオ#781 | T+00:09:04 | 31 | 143 | 11,2,11,3,12,2,12,3
西側エリア | 小柳ナギ#9e9 | T+00:24:23 | 30 | 341 | 10,2,10,3,11,2,11,3,11,4,12,2,12,3
西の露天掘り場 | 真砂コウ#124 | T+00:21:36 | 29 | 229 | 11,2,11,3,12,2,12,3
南側の石切り場 | 谷口アル#a65 | T+00:28:24 | 28 | 137 | 11,2,11,3,12,2,12,3
拠点周辺 | 大川カイ#40f | T+00:07:02 | 24 | 77 | 11,2,11,3,12,2,12,3
採石場 | 小柳イオ#e51 | T+00:04:39 | 23 | 46 | 11,2,11,3,11,4,12,2,12,3
広場の北側 | 大川イオ#5c4 | T+00:18:31 | 23 | 106 | 11,2,11,3,12,2,12,3
北東採石場 | 大川タケル#f91 | T+01:02:35 | 21 | 67 | 11,2,11,3,12,2,12,3
西の未踏地 | 風間の子#38f | T+03:00:24 | 20 | 97 | 11,13,11,2,11,3,11,4,12,2,12,3
西の森 | 榎本アキ#01c | T+01:47:19 | 19 | 77 | 11,2,11,3,12,3,13,3
村の東側エリア | 桜井ボブ#482 | T+02:27:34 | 19 | 57 | 11,2,11,3,12,3
北東の採石場 | 真砂アル#ef2 | T+00:26:22 | 15 | 26 | 11,2,11,3,12,3
近くの森 | 月島レン#153 | T+00:08:49 | 14 | 24 | 11,2,11,3
東の採石場 | 川原フウ#f33 | T+00:12:59 | 14 | 29 | 11,2,11,3,12,2
拠点の北側 | 石川ソラ#b94 | T+00:20:16 | 14 | 27 | 11,2,11,3,12,3
北側一帯 | 東雲カイ#a50 | T+02:03:13 | 14 | 36 | 11,2,11,3,12,3
北側の未踏地 | 東雲カイ#a50 | T+02:07:54 | 14 | 31 | 11,2,11,3,12,3
北側の拠点 | 東雲カイ#a50 | T+03:07:29 | 12 | 21 | 11,2,11,3,12,3
南の未踏の地 | 小柳ジン#080 | T+01:23:44 | 11 | 19 | 11,2,11,3,12,2,12,3
北側 | 東雲カイ#a50 | T+02:05:14 | 11 | 23 | 11,2,11,3,12,3
南側採石場 | 小柳ナギ#9e9 | T+01:24:04 | 10 | 23 | 11,2,11,3,12,3
南の未踏地 | 小柳ジン#080 | T+02:06:26 | 10 | 15 | 11,2,11,3,12,3
村の外縁 | 大川オト#72a | T+02:43:01 | 10 | 31 | 11,3,12,3
この一帯 | 真砂アル#ef2 | T+00:28:31 | 9 | 12 | 11,2,11,3,12,2,12,3
広場 | 小柳イオ#e51 | T+00:00:54 | 8 | 12 | 11,3,12,2,12,3
南側の森 | 榎本ハル#0c8 | T+00:28:39 | 7 | 17 | 11,2
南の奥地 | 小柳ナギ#9e9 | T+01:24:32 | 7 | 15 | 12,2,12,3
南方の未踏地 | 大川タケル#e00 | T+02:07:09 | 7 | 20 | 11,2,11,3,12,3
北の採石場 | 桜井ボブ#482 | T+00:20:26 | 6 | 8 | 11,2,11,3,12,3
拠点西側の研究エリア | 西森ミオ#781 | T+00:29:58 | 5 | 8 | 11,2,12,2,12,3
防衛ライン | 大川オト#72a | T+00:41:26 | 5 | 7 | 12,2
南東エリア | 榎本ソラ#3f3 | T+00:45:54 | 5 | 9 | 12,3
西の森林 | 大川オト#72a | T+02:34:01 | 5 | 10 | 11,3,12,3
南側の未踏地 | 大川タケル#e00 | T+03:26:29 | 5 | 7 | 11,3,12,3
西の木立 | 風間エマ#b5b | T+04:02:26 | 5 | 13 | 11,2,11,3
北東 | 風間タケル#ab9 | T+04:38:57 | 5 | 10 | 11,2,12,2,12,3
北側の採石場 | 風間ダイ#f7c | T+00:05:42 | 4 | 7 | 11,2,11,3
北西エリア | 西森オト#ff3 | T+00:06:36 | 4 | 3 | 11,2,12,2,12,3
北の未踏地 | 小柳イオ#e51 | T+02:44:11 | 4 | 5 | 11,3,12,3
北東エリア | 風間の子#38f | T+05:06:36 | 4 | 5 | 12,2,12,3
採石場周辺 | 大川カイ#40f | T+00:32:27 | 3 | 4 | 12,2
西の採石場 | 石川ナギ#6c2 | T+02:03:56 | 3 | 3 | 11,3,12,2,12,3
南の石切り場 | 林ソラ#017 | T+02:05:12 | 3 | 4 | 11,3,12,3
北側未踏地 | 林ソラ#017 | T+02:07:49 | 3 | 3 | 11,3
北東の未踏地 | 林ソラ#017 | T+02:09:23 | 3 | 5 | 11,3,12,3
東側の石切り場 | 南田ボブ#4f3 | T+00:09:04 | 2 | 2 | 11,2
私の拠点 | 真砂コウ#124 | T+00:18:46 | 2 | 2 | 11,3
拠点西側 | 西森ミオ#781 | T+00:27:03 | 2 | 4 | 11,2,11,3
拠点の近所 | 月島レン#153 | T+00:49:16 | 2 | 2 | 11,3
拠点 | 桜井ボブ#482 | T+01:55:40 | 2 | 2 | 11,2,11,3
南の森 | 榎本ハル#0c8 | T+00:29:43 | 1 | 0 | 12,3
南側エリア | 風間エマ#b5b | T+00:49:29 | 1 | 0 | 13,2
東方の未踏地 | 真砂コウ#124 | T+01:50:51 | 1 | 0 | 11,3
南西の未踏地 | 西森ミオ#781 | T+02:07:56 | 1 | 1 | 12,3


# 全name eventの時系列(coin と say のみ・hearは省略)
T+00:00:36 | coin | 小柳ジン#080 | 南西の採石場 | grid=11,3 | frm=
T+00:00:54 | coin | 小柳イオ#e51 | 広場 | grid=12,2 | frm=
T+00:00:56 | say | 西森オト#ff3 | 広場 | grid=12,2 | frm=
T+00:00:59 | say | 小柳イオ#e51 | 広場 | grid=12,2 | frm=
T+00:01:00 | coin | 小柳ハル#dea | 南側一帯 | grid=11,3 | frm=
T+00:01:02 | say | 桜井ボブ#482 | 南側一帯 | grid=11,3 | frm=
T+00:01:05 | say | 小柳ハル#dea | 南側一帯 | grid=11,3 | frm=
T+00:01:07 | say | 桜井ボブ#482 | 南側一帯 | grid=11,3 | frm=
T+00:01:21 | coin | 小柳イオ#e51 | 南西の採石場 | grid=11,2 | frm=
T+00:01:23 | say | 林ソラ#017 | 南西の採石場 | grid=11,2 | frm=
T+00:03:43 | coin | 石川エマ#0c5 | 南西の採石場 | grid=11,2 | frm=
T+00:03:46 | say | 風間ダイ#f7c | 南西の採石場 | grid=11,3 | frm=
T+00:03:48 | say | 石川エマ#0c5 | 南西の採石場 | grid=11,2 | frm=
T+00:03:58 | coin | 榎本ソラ#3f3 | この作業エリア | grid=11,3 | frm=
T+00:04:01 | say | 川原コウ#cb6 | この作業エリア | grid=11,3 | frm=
T+00:04:03 | say | 榎本ソラ#3f3 | この作業エリア | grid=11,3 | frm=
T+00:04:05 | say | 川原コウ#cb6 | この作業エリア | grid=11,3 | frm=
T+00:04:34 | say | 小柳イオ#e51 | 広場 | grid=12,2 | frm=
T+00:04:37 | say | 東雲ソラ#358 | 広場 | grid=12,2 | frm=
T+00:04:39 | coin | 小柳イオ#e51 | 採石場 | grid=12,2 | frm=
T+00:04:49 | coin | 谷口アル#a65 | 南側の採石場 | grid=11,3 | frm=
T+00:04:51 | say | 大川オト#72a | 南側の採石場 | grid=11,3 | frm=
T+00:04:54 | say | 谷口アル#a65 | 南側の採石場 | grid=11,3 | frm=
T+00:05:07 | say | 東雲ソラ#358 | 広場 | grid=12,2 | frm=
T+00:05:09 | say | 小柳ハル#dea | 南側一帯 | grid=11,3 | frm=
T+00:05:12 | coin | 東雲ソラ#358 | 南側一帯 | grid=11,3 | frm=
T+00:05:14 | say | 小柳ハル#dea | 南側一帯 | grid=11,3 | frm=
T+00:05:16 | say | 谷口アル#a65 | 南側の採石場 | grid=11,3 | frm=
T+00:05:19 | say | 風間エマ#b5b | 南側の採石場 | grid=11,3 | frm=
T+00:05:21 | say | 谷口アル#a65 | 南側の採石場 | grid=11,3 | frm=
T+00:05:23 | say | 風間エマ#b5b | 南側の採石場 | grid=11,3 | frm=
T+00:05:42 | coin | 風間ダイ#f7c | 北側の採石場 | grid=11,2 | frm=
T+00:05:43 | say | 谷口アル#a65 | 南側の採石場 | grid=11,3 | frm=
T+00:05:45 | say | 大川イオ#5c4 | 北側の採石場 | grid=11,2 | frm=
T+00:05:46 | say | 大川カイ#40f | 南側の採石場 | grid=11,3 | frm=
T+00:05:48 | say | 谷口アル#a65 | 南側の採石場 | grid=11,3 | frm=
T+00:06:04 | say | 東雲ソラ#358 | 南側一帯 | grid=11,3 | frm=
T+00:06:06 | say | 柏木ダイ#8f4 | 南側一帯 | grid=11,3 | frm=
T+00:06:08 | say | 東雲ソラ#358 | 南側一帯 | grid=11,3 | frm=
T+00:06:36 | coin | 西森オト#ff3 | 北西エリア | grid=12,3 | frm=
T+00:06:38 | say | 西森ミオ#781 | 北西エリア | grid=12,3 | frm=
T+00:06:49 | say | 石川エマ#0c5 | 南西の採石場 | grid=11,2 | frm=
T+00:06:52 | coin | 大川イオ#5c4 | 南側の採石場 | grid=11,2 | frm=
T+00:06:54 | say | 石川エマ#0c5 | 南西の採石場 | grid=11,2 | frm=
T+00:07:02 | coin | 大川カイ#40f | 拠点周辺 | grid=11,2 | frm=
T+00:07:04 | say | 南田ボブ#4f3 | 拠点周辺 | grid=11,3 | frm=
T+00:07:06 | say | 大川カイ#40f | 拠点周辺 | grid=11,2 | frm=
T+00:07:08 | say | 南田ボブ#4f3 | 拠点周辺 | grid=11,3 | frm=
T+00:07:12 | coin | 榎本ソラ#3f3 | 拠点周辺 | grid=12,3 | frm=
T+00:07:17 | say | 大川オト#72a | 南側の採石場 | grid=11,3 | frm=
T+00:07:18 | say | 柏木ダイ#8f4 | 南側一帯 | grid=11,3 | frm=
T+00:07:19 | say | 石川エマ#0c5 | 南西の採石場 | grid=11,2 | frm=
T+00:07:20 | say | 森野ミオ#e1a | 南側一帯 | grid=11,3 | frm=
T+00:07:21 | say | 大川オト#72a | 南側の採石場 | grid=11,3 | frm=
T+00:07:22 | say | 柏木ダイ#8f4 | 南側一帯 | grid=11,3 | frm=
