# 西森オト#ff3(侵入被害19件・殺0) と 月島レン#153(侵入14件・殺6) の不満ゲージ推移（2分毎・オトの死まで）
# 侵入の主な発生: オト宅=T+00:12〜 / レン宅=T+00:18〜

T+        | 西森オト: 空腹 睡眠 安全 居住 退屈 停滞 不公平 孤独 過密  || 月島レン: 同順
T+00:00:01 |   0   0   0   5   3   1   0   0   0 ||   0   0  24   5   3   1   0   0   0
T+00:02:01 |   0   0   0  23   0  15   0   0  12 ||   0   0   1  11   0   5   0   0  15
T+00:04:01 |   0   0   0  23   2   2   0   0   0 ||   0   0   1  11   0  24   0   0   0
T+00:06:02 |   0   0   0  23   6   6   0   0  16 ||   0   0   1  11   0  14   0   0   0
T+00:08:03 |   0   0   0  23   0   2   0   0   0 ||   0   0   1  11   3   2   0   0   5
T+00:10:03 |   0   0   6  68   3  20   0   0  10 ||   0   0   5  39  17  12   0   0  17
T+00:12:04 |   0  61  25  30   2   2   0   0  50 ||   0   0  59  46   3  38   0   0   0
T+00:14:05 |   0  29   1  21   0  29   0   0  39 ||   0   0  17  46   3   9   0   0   0
T+00:16:05 |   0  69  41  21   0  33   0   0   8 ||   5   0   1  46   5   9   0   0  24
T+00:18:05 |   0  69  12  21   6  20   0   0  39 ||   5  69  21  11   0   2   0   0   0
T+00:20:06 |   5   1   1   1  21  20   0   0   0 ||  17   1   3   1  23  30   0   0   8
T+00:22:07 |   5   1   1   1   2   2   0   0   1 ||  23   1   1   1  17  12   0   0  18
T+00:24:08 |  11   1   1   1   5   5   0   0   0 ||  23   1   1   1   5  36   0   0   0
T+00:26:08 |  11   1   1   1  23  23   0   0   0 ||  29   1   1   1  12   9   0   0   0
T+00:28:10 |  17   1   1   1   2   2   0   0   0 ||   7   1   1   1  43  32   0   0  20
T+00:30:11 |  17  61   1  18   5  11   0   0  11 ||   7  61  13   9  60  47   0   0  18
T+00:32:12 |  17  69   3  19  18  23   0   0  22 ||   7  68   3   9  63  50   0  48  16
T+00:34:13 |  17  69   3  19  18  23   0   0  22 ||   7  69   1   9  73  60   0  62   0
T+00:36:14 |  23  41  18  19  25  29   0   0  17 ||   7  69   8   9  17  68   0  62   0
T+00:38:15 |  23   1   4  11  17  16   0   0  29 ||   7  41   1   5  40  74   0   0   2
T+00:40:17 |  23   1   1   1   2   2   0   0  31 ||   7   1   1   1  56  80   0   0   9
T+00:42:18 |   0   0   0   0   0   0   0   0   0 ||   7   1   1   1  10  85   0   0  40
