# 村人が自分の呼び名を言い換えた記録（収束が可能だった証拠）
# 初回命名 126件 / 言い換え 123件 / うち他人から聞いた名を採用 74件

T+00:04:39 | 小柳イオ#e51 | grid12,2 | 「広場」→「採石場」 ★聞いた名を採用
T+00:09:31 | 大川カイ#40f | grid11,2 | 「拠点周辺」→「南側の採石場」 ★聞いた名を採用
T+00:12:31 | 小柳イオ#e51 | grid12,2 | 「採石場」→「南西の採石場」 ★聞いた名を採用
T+00:20:16 | 石川ソラ#b94 | grid11,3 | 「拠点周辺」→「拠点の北側」 ★聞いた名を採用
T+00:21:36 | 真砂コウ#124 | grid11,3 | 「私の拠点」→「西の露天掘り場」 ★聞いた名を採用
T+00:22:10 | 南田ボブ#4f3 | grid11,2 | 「東側の石切り場」→「拠点周辺」 ★聞いた名を採用
T+00:22:51 | 東雲ソラ#358 | grid11,3 | 「南側一帯」→「西側一帯」 ★聞いた名を採用
T+00:23:21 | 東雲ソラ#358 | grid12,2 | 「採石場」→「西側一帯」 
T+00:24:26 | 榎本ソラ#3f3 | grid11,3 | 「この作業エリア」→「西側エリア」 ★聞いた名を採用
T+00:25:21 | 大川イオ#5c4 | grid11,2 | 「南側の採石場」→「南側一帯」 
T+00:25:51 | 榎本ソラ#3f3 | grid11,3 | 「西側エリア」→「南側一帯」 ★聞いた名を採用
T+00:27:03 | 西森ミオ#781 | grid11,2 | 「西側一帯」→「拠点西側」 
T+00:29:58 | 西森ミオ#781 | grid12,2 | 「拠点周辺」→「拠点西側の研究エリア」 
T+00:37:11 | 小柳イオ#e51 | grid11,2 | 「南西の採石場」→「南側一帯」 
T+00:38:51 | 西森ミオ#781 | grid11,2 | 「拠点西側」→「近くの森」 
T+00:39:11 | 大川イオ#5c4 | grid11,3 | 「南側一帯」→「広場の北側」 ★聞いた名を採用
T+00:39:54 | 西森ミオ#781 | grid11,2 | 「近くの森」→「南側の採石場」 ★聞いた名を採用
T+00:42:01 | 大川カイ#40f | grid12,2 | 「採石場周辺」→「南側の採石場」 ★聞いた名を採用
T+00:42:51 | 南田ボブ#4f3 | grid12,2 | 「拠点周辺」→「南側の採石場」 ★聞いた名を採用
T+00:45:54 | 榎本ソラ#3f3 | grid12,3 | 「拠点周辺」→「南東エリア」 ★聞いた名を採用
T+00:49:16 | 月島レン#153 | grid11,3 | 「近くの森」→「拠点の近所」 
T+00:57:11 | 谷口アル#a65 | grid12,3 | 「南東エリア」→「南側の石切り場」 ★聞いた名を採用
T+01:04:27 | 小柳ジン#080 | grid11,3 | 「南西の採石場」→「南側一帯」 ★聞いた名を採用
T+01:05:16 | 南田ボブ#4f3 | grid11,2 | 「拠点周辺」→「南側一帯」 
T+01:09:01 | 風間ダイ#f7c | grid11,3 | 「拠点の北側」→「西側一帯」 ★聞いた名を採用
T+01:14:36 | 榎本ソラ#3f3 | grid11,3 | 「南側一帯」→「西の露天掘り場」 ★聞いた名を採用
T+01:20:36 | 真砂コウ#124 | grid11,3 | 「西の露天掘り場」→「広場の北側」 ★聞いた名を採用
T+01:21:26 | 谷口アル#a65 | grid12,2 | 「南側の石切り場」→「南西の採石場」 ★聞いた名を採用
T+01:23:44 | 小柳ジン#080 | grid11,3 | 「南側一帯」→「南の未踏の地」 
T+01:24:34 | 谷口アル#a65 | grid12,2 | 「南西の採石場」→「南の奥地」 ★聞いた名を採用
T+01:25:11 | 風間ダイ#f7c | grid12,3 | 「西の露天掘り場」→「西側一帯」 ★聞いた名を採用
T+01:25:11 | 榎本ソラ#3f3 | grid12,3 | 「南東エリア」→「西の露天掘り場」 ★聞いた名を採用
T+01:25:20 | 真砂コウ#124 | grid11,2 | 「この作業エリア」→「広場の北側」 
T+01:25:48 | 真砂コウ#124 | grid11,3 | 「広場の北側」→「西の露天掘り場」 ★聞いた名を採用
T+01:27:01 | 大川オト#72a | grid12,2 | 「防衛ライン」→「この作業エリア」 ★聞いた名を採用
T+01:31:04 | 東雲カイ#a50 | grid11,3 | 「南西の採石場」→「西側一帯」 ★聞いた名を採用
T+01:42:01 | 大川イオ#5c4 | grid12,3 | 「広場の北側」→「西の露天掘り場」 ★聞いた名を採用
T+01:48:53 | 谷口アル#a65 | grid11,3 | 「南側の採石場」→「南側の石切り場」 ★聞いた名を採用
T+01:49:24 | 大川イオ#5c4 | grid12,3 | 「西の露天掘り場」→「拠点の北側」 
T+01:49:49 | 風間の子#38f | grid11,3 | 「西側一帯」→「西の露天掘り場」 ★聞いた名を採用
T+01:50:51 | 真砂コウ#124 | grid11,3 | 「西の露天掘り場」→「東方の未踏地」 
T+01:51:22 | 真砂コウ#124 | grid11,3 | 「東方の未踏地」→「西の露天掘り場」 ★聞いた名を採用
T+01:54:12 | 南田ボブ#4f3 | grid11,3 | 「南側一帯」→「西側一帯」 ★聞いた名を採用
T+01:55:40 | 桜井ボブ#482 | grid11,3 | 「拠点周辺」→「拠点」 
T+01:56:21 | 大川イオ#5c4 | grid12,3 | 「拠点の北側」→「広場の北側」 ★聞いた名を採用
T+01:56:23 | 風間カイトトウマ#101 | grid11,3 | 「西側一帯」→「この一帯」 
T+01:56:52 | 南田ボブ#4f3 | grid11,3 | 「西側一帯」→「南側一帯」 ★聞いた名を採用
T+01:56:56 | 石川ナギ#6c2 | grid11,3 | 「広場の北側」→「西側エリア」 ★聞いた名を採用
T+01:57:23 | 風間カイトトウマ#101 | grid11,2 | 「西側一帯」→「西の露天掘り場」 ★聞いた名を採用
T+01:58:12 | 東雲カイ#a50 | grid12,2 | 「南西の採石場」→「西の露天掘り場」 ★聞いた名を採用
T+01:58:54 | 東雲カイ#a50 | grid11,2 | 「この作業エリア」→「西側一帯」 
T+02:00:01 | 大川イオ#5c4 | grid11,2 | 「南側一帯」→「広場の北側」 
T+02:00:59 | 真砂コウ#124 | grid11,2 | 「広場の北側」→「南側の採石場」 ★聞いた名を採用
T+02:01:51 | 風間ダイ#f7c | grid11,3 | 「西側一帯」→「南西の採石場」 ★聞いた名を採用
T+02:02:50 | 風間カイトトウマ#101 | grid11,3 | 「この一帯」→「西側エリア」 
T+02:04:01 | 石川ナギ#6c2 | grid11,3 | 「西側エリア」→「西の採石場」 
T+02:05:12 | 林ソラ#017 | grid11,3 | 「拠点周辺」→「南の石切り場」 
T+02:05:14 | 東雲カイ#a50 | grid12,3 | 「北側一帯」→「北側」 
T+02:05:58 | 小柳イオ#e51 | grid12,3 | 「南側一帯」→「北側一帯」 
T+02:06:26 | 小柳ジン#080 | grid12,3 | 「広場の北側」→「南の未踏地」 
T+02:06:44 | 東雲カイ#a50 | grid11,3 | 「西側一帯」→「北側」 ★聞いた名を採用
T+02:06:46 | 大川イオ#5c4 | grid11,3 | 「広場の北側」→「北側」 ★聞いた名を採用
T+02:07:09 | 大川タケル#e00 | grid11,3 | 「南側の石切り場」→「南方の未踏地」 
T+02:07:39 | 大川タケル#e00 | grid12,3 | 「南側の石切り場」→「南方の未踏地」 
T+02:07:49 | 林ソラ#017 | grid11,3 | 「南の石切り場」→「北側未踏地」 
T+02:07:54 | 東雲カイ#a50 | grid12,3 | 「北側」→「北側の未踏地」 
T+02:07:56 | 西森ミオ#781 | grid12,3 | 「広場の北側」→「南西の未踏地」 
T+02:08:02 | 小柳イオ#e51 | grid11,2 | 「南側一帯」→「北側の未踏地」 ★聞いた名を採用
T+02:08:36 | 西森ミオ#781 | grid12,3 | 「南西の未踏地」→「南の未踏地」 
T+02:08:48 | 小柳ジン#080 | grid11,3 | 「南の未踏の地」→「南の未踏地」 ★聞いた名を採用
T+02:09:23 | 林ソラ#017 | grid11,3 | 「北側未踏地」→「北東の未踏地」 
T+02:09:41 | 石川ナギ#6c2 | grid11,3 | 「西の採石場」→「西側エリア」 ★聞いた名を採用
T+02:09:43 | 小柳ハル#dea | grid11,3 | 「南側一帯」→「西側一帯」 
T+02:11:21 | 真砂コウ#124 | grid11,2 | 「南側の採石場」→「西の露天掘り場」 
T+02:12:39 | 大川タケル#e00 | grid12,3 | 「南方の未踏地」→「採石場」 
T+02:22:31 | 浜田イオ#796 | grid12,2 | 「南側の採石場」→「南側の石切り場」 ★聞いた名を採用
T+02:22:47 | 林ソラ#017 | grid11,3 | 「北東の未踏地」→「採石場」 ★聞いた名を採用
T+02:23:51 | 桜井ボブ#482 | grid11,3 | 「拠点」→「北の採石場」 ★聞いた名を採用
