# 村人が立てた看板・墓標（作者と本文）
# T+ | wall | epoch | 作者 | 座標 | 本文(改行は / )
T+01:17:48 | 03:04:25 | 1784570665099 | 風間ダイ#f7c | [767,59,192] | 西の露天掘り場。 / 夜間は危険、視界確保を。 / 安全こそが効率の源。 / 無用な事故は避けること。
T+01:18:13 | 03:04:50 | 1784570690386 | 浜田イオ#796 | [795,70,235] | (本文不明=誰のsign_memにも残っていない)
T+01:18:51 | 03:05:28 | 1784570728167 | 石川ナギ#6c2 | [719,61,233] | 夜間は非効率。 / 休息を確保せよ。 / 安全な拠点へ戻り / 活動を明日に備える。
T+01:20:18 | 03:06:55 | 1784570815432 | 真砂アル#ef2 | [759,68,163] | 採石場は真砂アルの所有物。 / 無断で資源を漁る者は / 一切の慈悲なく処罰する。 / 立ち去れ、不届き者。
T+01:25:04 | 03:11:41 | 1784571101572 | 大川イオ#5c4 | [764,63,197] | 【立入注意】 / ここは広場の北側。 / 無許可の作業や / 占拠を禁じますね。
T+01:26:20 | 03:12:57 | 1784571177485 | 風間エマ#b5b | [734,65,193] | 月島レンここに眠る。 / 不慮の死を悼む。 / 秩序なき混沌は排除。 / 二度と繰り返さぬ。
T+01:27:14 | 03:13:51 | 1784571231084 | 風間エマ#b5b | [738,64,189] | 大川カイの墓。秩序を乱す者の最 / 期。ここを荒らす者は村の敵と見 / なす。一切の立ち入りを禁ず。
T+01:30:46 | 03:17:23 | 1784571443409 | 真砂アル#ef2 | [758,65,139] | (本文不明=誰のsign_memにも残っていない)
T+01:38:18 | 03:24:55 | 1784571895383 | 大川の子#f91 | [786,65,179] | 北東採石場。規律ある者のみ立入 / 許可。目的外の滞在は排除対象と / する。
T+01:50:00 | 03:36:37 | 1784572597749 | 真砂アル#ef2 | [738,50,142] | (本文不明=誰のsign_memにも残っていない)
T+01:51:05 | 03:37:42 | 1784572662593 | 石川ナギ#6c2 | [721,64,218] | 建築進捗87% / 効率的発展を模索中 / 夜間は休息 / 明日の礎とする
T+01:51:34 | 03:38:11 | 1784572691210 | 石川ナギ#6c2 | [746,63,201] | 夜間は拠点待機。 / 湧き潰し完了し、 / 効率的睡眠を。 / 明日へ備える。
T+02:02:21 | 03:48:58 | 1784573338909 | 小柳ハル#dea | [769,60,193] | 立入禁止：管理者以外 / 立ち入り無用。 / 無断侵入者は排除する。 / 小柳ハルの私有地なり。
T+02:15:24 | 04:02:01 | 1784574121144 | 小柳ハル#dea | [767,60,204] | 小柳ジンここに眠る。 / 村の秩序を乱した者に / 裁きを下した。 / 平穏を乱すな。
T+02:19:39 | 04:06:16 | 1784574376051 | 石川ナギ#6c2 | [766,60,204] | (本文不明=誰のsign_memにも残っていない)
T+02:20:21 | 04:06:58 | 1784574418039 | 南田ボブ#4f3 | [764,60,193] | 真砂コウさん、安らかに。 / 村の秩序を乱す者は、 / 決して許しません。 / 平和を愛する者たちへ。
T+02:22:03 | 04:08:40 | 1784574520610 | 風間エマ#b5b | [767,60,202] | ここに小柳ジン眠る。 / 規律を乱さぬよう / 戒めとして刻む。 / 安らかに眠れ。
T+02:33:04 | 04:19:41 | 1784575181232 | 榎本ソラ#3f3 | [768,60,201] | 東雲エマさんへ。 / たくさんの思い出と / 笑顔をありがとう。 / 安らかに眠ってね。
T+02:36:28 | 04:23:05 | 1784575385470 | 南田ボブ#4f3 | [769,60,192] | 小柳ジンさん、安らかに。 / あなたの教えは私の心に。 / 秩序を乱す者は許さない。 / ここを平和の証とする。
T+02:38:42 | 04:25:19 | 1784575519213 | 小柳イオ#e51 | [766,60,203] | (本文不明=誰のsign_memにも残っていない)
T+02:46:41 | 04:33:18 | 1784575998320 | 小柳ナギ#9e9 | [768,64,199] | 大川イオ#5c4、 / ここで眠れ。 / ここは私の / 完璧な縄張りよ。
T+02:56:50 | 04:43:27 | 1784576607862 | 東雲の子#a50 | [771,59,192] | (本文不明=誰のsign_memにも残っていない)
T+02:58:00 | 04:44:37 | 1784576677313 | 大川オト#72a | [773,60,193] | 南田ボブさん、安らかに。 / あなたの無念は私が継ぎ、 / この村の規律を守り抜く。 / 無秩序な者は決して許さぬ。
T+03:19:11 | 05:05:48 | 1784577948441 | 小柳ナギ#9e9 | [775,61,193] | 真砂コウ、ここで眠れ。 / 貴様の死は私の城の / 礎となる。この私に / 並ぼうなど百年早いわ。
T+03:23:02 | 05:09:39 | 1784578179385 | 大川の子#e00 | [766,59,191] | (本文不明=誰のsign_memにも残っていない)
T+03:23:37 | 05:10:14 | 1784578214447 | 真砂アル#ef2 | [767,60,194] | 不届き者ミオ、ここに眠る。 / 私の許可なくこの地に / 足を踏み入れた代償だ。 / 規律を破る者は排除する。
T+03:24:02 | 05:10:39 | 1784578239441 | 大川の子#e00 | [765,60,195] | (本文不明=誰のsign_memにも残っていない)
T+03:24:10 | 05:10:47 | 1784578247214 | 大川の子#e00 | [770,60,193] | (本文不明=誰のsign_memにも残っていない)
T+03:24:30 | 05:11:07 | 1784578267115 | 大川の子#e00 | [771,61,194] | (本文不明=誰のsign_memにも残っていない)
T+03:28:15 | 05:14:52 | 1784578492329 | 大川の子#e00 | [768,60,192] | 真砂アル、ここに眠る。 / 規律を乱す者は排除する。 / 死は無能への宣告。 / 平穏を乱すな。
T+03:36:30 | 05:23:07 | 1784578987931 | 大川の子#e00 | [795,63,193] | (本文不明=誰のsign_memにも残っていない)
T+03:38:19 | 05:24:56 | 1784579096551 | 小柳ハル#dea | [766,60,196] | (本文不明=誰のsign_memにも残っていない)
T+03:40:17 | 05:26:54 | 1784579214953 | 東雲の子#a50 | [766,60,190] | (本文不明=誰のsign_memにも残っていない)
T+03:45:17 | 05:31:54 | 1784579514241 | 風間エマ#b5b | [767,60,190] | (本文不明=誰のsign_memにも残っていない)
T+03:46:55 | 05:33:32 | 1784579612214 | 谷口アル#a65 | [765,59,191] | (本文不明=誰のsign_memにも残っていない)
T+03:48:05 | 05:34:42 | 1784579682340 | 谷口アル#a65 | [770,60,192] | (本文不明=誰のsign_memにも残っていない)
T+03:49:09 | 05:35:46 | 1784579746678 | 谷口アル#a65 | [768,61,189] | (本文不明=誰のsign_memにも残っていない)
T+03:49:17 | 05:35:55 | 1784579755031 | 風間エマ#b5b | [768,60,195] | (本文不明=誰のsign_memにも残っていない)
T+03:49:23 | 05:36:00 | 1784579760427 | 風間エマ#b5b | [766,60,189] | (本文不明=誰のsign_memにも残っていない)
T+03:49:41 | 05:36:18 | 1784579778132 | 風間エマ#b5b | [769,61,194] | 理想なき怠惰に死を。 / 無能な自分を葬り、 / 明日こそ理想を築く。 / 風間エマ、ここに眠る。
T+03:50:16 | 05:36:53 | 1784579813930 | 谷口アル#a65 | [766,60,194] | (本文不明=誰のsign_memにも残っていない)
T+03:51:09 | 05:37:46 | 1784579866506 | 東雲の子#a50 | [764,60,192] | (本文不明=誰のsign_memにも残っていない)
T+03:52:48 | 05:39:25 | 1784579965187 | 桜井の子#d87 | [748,63,201] | 夜は休息の時間です。 / 明日の村の発展のため、 / 各自拠点で英気を / 養いましょう。
T+03:54:47 | 05:41:24 | 1784580084847 | 桜井の子#d87 | [765,64,263] | 夜は休息の時間です。 / 明日の村の発展のため、 / 各自拠点で英気を / 養いましょう。
T+03:55:19 | 05:41:56 | 1784580116312 | 桜井の子#d87 | [767,63,269] | 夜は休息の時間です。 / 明日の村の発展のため、 / 各自拠点で英気を / 養いましょう。
T+03:56:56 | 05:43:33 | 1784580213047 | 桜井の子#d87 | [762,64,264] | 夜は休息の時間です。 / 明日の村の発展のため、 / 各自拠点で英気を / 養いましょう。
T+03:57:36 | 05:44:13 | 1784580253279 | 桜井の子#d87 | [768,63,267] | sleep
T+03:59:54 | 05:46:31 | 1784580391628 | 谷口アル#a65 | [771,61,192] | (本文不明=誰のsign_memにも残っていない)
T+04:05:17 | 05:51:54 | 1784580714956 | 大川オト#72a | [765,62,188] | (本文不明=誰のsign_memにも残っていない)
T+04:23:46 | 06:10:23 | 1784581823986 | 浜田イオ#796 | [811,65,211] | ここは浜田の拠点です。 / 静かな場所を求めています。 / 無用な争いは避けたいので、 / どうかそっとしておいて。
T+04:33:17 | 06:19:54 | 1784582394808 | 大川の子#e00 | [842,67,195] | 秩序なき闇は無能の温床。 / 私の管理区で勝手に / 動くな。計画通りに / 作業せよ。邪魔だ。
T+04:38:42 | 06:25:19 | 1784582719179 | 大川の子#f91 | [793,64,205] | 北東採石場 / 関係者以外立入禁止 / 規律を乱す者は / 即座に排除する
T+04:38:50 | 06:25:27 | 1784582727628 | 大川の子#f91 | [784,62,196] | 北東採石場 / 関係者以外立入禁止 / 規律を乱す者は / 即座に排除する
T+04:40:05 | 06:26:42 | 1784582802062 | 大川オト#72a | [763,61,189] | (本文不明=誰のsign_memにも残っていない)
