# 誰が「言葉」を村に広めたか（ある地名を、ある人に“初めて”伝えた回数）
# 伝えた件数 | 伝えた相手の人数 | 自分で作った地名の数 | 名前
  39件 |  20人 | 命名4個 | 東雲カイ#a50
  37件 |  25人 | 命名3個 | 大川オト#72a
  36件 |  23人 | 命名3個 | 桜井ボブ#482
  31件 |  20人 | 命名2個 | 谷口アル#a65
  28件 |  17人 | 命名6個 | 小柳イオ#e51
  28件 |  20人 | 命名3個 | 小柳ナギ#9e9
  27件 |  20人 | 命名2個 | 大川イオ#5c4
  26件 |  19人 | 命名4個 | 林ソラ#017
  25件 |  16人 | 命名3個 | 小柳ジン#080
  24件 |  21人 | 命名1個 | 風間ダイ#f7c
  24件 |  18人 | 命名6個 | 西森ミオ#781
  24件 |  19人 | 命名3個 | 真砂コウ#124
  24件 |  16人 | 命名2個 | 大川タケル#e00
  23件 |  17人 | 命名4個 | 榎本ソラ#3f3
  19件 |  14人 | 命名0個 | 東雲ソラ#358
  18件 |  16人 | 命名1個 | 南田ボブ#4f3
  18件 |  16人 | 命名2個 | 真砂アル#ef2
  16件 |  14人 | 命名2個 | 風間エマ#b5b
  16件 |  15人 | 命名2個 | 大川タケル#f91
  16件 |  13人 | 命名3個 | 風間の子#38f
  14件 |  13人 | 命名1個 | 小柳ハル#dea
  14件 |  12人 | 命名1個 | 石川ナギ#6c2
  13件 |  12人 | 命名2個 | 月島レン#153
  11件 |  11人 | 命名1個 | 川原フウ#f33
  10件 |   8人 | 命名0個 | 浜田イオ#796
  10件 |  10人 | 命名1個 | 榎本アキ#01c
   9件 |   8人 | 命名2個 | 大川カイ#40f
   7件 |   6人 | 命名2個 | 石川ソラ#b94
   6件 |   6人 | 命名1個 | 西森オト#ff3
   6件 |   5人 | 命名0個 | 柏木ダイ#8f4
   6件 |   5人 | 命名1個 | 風間タケル#ab9
   5件 |   5人 | 命名1個 | 小柳ハルト#10d
   4件 |   4人 | 命名0個 | 森野ミオ#e1a
   4件 |   3人 | 命名2個 | 榎本ハル#0c8
   3件 |   3人 | 命名1個 | 石川エマ#0c5
   3件 |   3人 | 命名0個 | 谷口ジン#e39
   3件 |   3人 | 命名2個 | 風間カイトトウマ#101
   2件 |   2人 | 命名0個 | 東雲エマ#e65
   2件 |   2人 | 命名0個 | 川原コウ#cb6
   2件 |   2人 | 命名0個 | 桜井コハル#d87
   1件 |   1人 | 命名1個 | 風間の子#101
   1件 |   1人 | 命名0個 | 小柳ダイキ#9e7

# 伝達の総数(初回のみ) 635件 / 命名の総数 75個
