# name | vid(temperament) | soul file in brain/state/
南田ボブ#4f3 | v_d3920816 | v_d3920816.json
大川の子#e00 | v_e006f8eb | -
大川の子#f91 | v_f91ac1c8 | -
大川イオ#5c4 | v_82f5e61b | v_82f5e61b.json
大川オト#72a | v_60a4f25b | v_60a4f25b.json
大川カイ#40f | v_1be7aaca | v_1be7aaca.json
大川タケル#e00 | - | v_e006f8eb.json
大川タケル#f91 | - | v_f91ac1c8.json
小柳の子#10d | v_10d4162f | -
小柳の子#9e7 | v_9e7ca3aa | -
小柳イオ#e51 | v_908debeb | v_908debeb.json
小柳ジン#080 | v_8c655b07 | v_8c655b07.json
小柳ダイキ#9e7 | - | v_9e7ca3aa.json
小柳ナギ#9e9 | v_8d6c33bf | v_8d6c33bf.json
小柳ハル#dea | v_f1e7308b | v_f1e7308b.json
小柳ハルト#10d | - | v_10d4162f.json
川原コウ#cb6 | v_f9890402 | v_f9890402.json
川原フウ#f33 | v_8a453157 | v_8a453157.json
月島レン#153 | v_848ce0fa | v_848ce0fa.json
東雲の子#a50 | v_a506fec5 | -
東雲エマ#e65 | v_8713290d | v_8713290d.json
東雲カイ#a50 | - | v_a506fec5.json
東雲ソラ#358 | v_4f2feea3 | v_4f2feea3.json
林カイ#48a | v_d2a211ad | v_d2a211ad.json
林ソラ#017 | v_b87a540c | v_b87a540c.json
柏木ダイ#8f4 | v_19fe4e37 | v_19fe4e37.json
桜井の子#d87 | v_d876d64b | -
桜井コハル#d87 | - | v_d876d64b.json
桜井ボブ#482 | v_fc89e10f | v_fc89e10f.json
森野ミオ#e1a | v_578d3b5f | v_578d3b5f.json
榎本の子#01c | v_01c083d2 | -
榎本アキ#01c | - | v_01c083d2.json
榎本ソラ#3f3 | v_26dc50bf | v_26dc50bf.json
榎本ハル#0c8 | v_6afb431c | v_6afb431c.json
浜田イオ#796 | v_a3dbbc94 | v_a3dbbc94.json
真砂アル#ef2 | v_1cc6f77b | v_1cc6f77b.json
真砂コウ#124 | v_27c92eb5 | v_27c92eb5.json
石川エマ#0c5 | v_f193c1c0 | v_f193c1c0.json
石川ソラ#b94 | v_1067ed0e | v_1067ed0e.json
石川ナギ#6c2 | v_2a2bd51c | v_2a2bd51c.json
西森オト#ff3 | v_25a11461 | v_25a11461.json
西森ミオ#781 | v_b70f8fb4 | v_b70f8fb4.json
谷口アル#a65 | v_9af5b740 | v_9af5b740.json
谷口ジン#e39 | v_ba079813 | v_ba079813.json
風間の子#101 | v_1013615b | -
風間の子#38f | v_38f7f483 | v_38f7f483.json
風間の子#ab9 | v_ab95e7cf | -
風間エマ#b5b | v_f5c8b2d4 | v_f5c8b2d4.json
風間カイトトウマ#101 | - | v_1013615b.json
風間タケル#ab9 | - | v_ab95e7cf.json
風間ダイ#f7c | v_241f0711 | v_241f0711.json
