# disc_weights（本人がLLMで宣言した9軸の重み）と殺害数
殺  名前                 空腹    睡眠    安全    居住    退屈    停滞    不公平   孤独    過密   
 6  月島レン#153             1.0   1.0   1.5   1.0   0.8   1.4   0.5   1.0   0.6  
 3  真砂アル#ef2             1.0   1.0   0.8   1.5   0.9   1.4   1.1   0.6   0.7  
 2  川原フウ#f33             0.8   0.9   1.5   1.8   1.2   1.0   0.7   1.2   0.9  
 2  小柳ジン#080             0.8   1.0   1.0   1.8   0.6   1.4   1.0   0.7   1.0  
 1  真砂コウ#124             0.8   1.0   1.0   1.8   0.9   1.2   0.7   1.0   0.6  
 1  大川イオ#5c4             1.2   1.0   2.0   1.0   0.7   0.8   1.0   0.5   0.8  
 1  小柳イオ#e51             0.8   1.1   1.2   1.8   0.7   1.4   1.0   0.9   0.6  
 1  谷口アル#a65             0.8   1.1   1.2   1.5   0.9   1.4   0.7   1.0   0.6  
 1  東雲カイ#a50             0.8   1.0   0.9   1.8   0.6   1.7   1.2   0.7   0.5  
 1  風間タケル#ab9            1.4   1.8   1.2   1.3   0.6   1.5   0.8   0.6   0.6  
 1  西森ミオ#781             0.8   1.1   1.2   1.8   0.7   1.5   0.6   1.3   0.9  
 1  南田ボブ#4f3             0.8   1.0   1.2   1.8   0.9   1.1   0.7   0.6   0.9  
 1  小柳ハル#dea             0.8   1.0   2.0   1.2   0.9   1.0   1.5   0.6   0.7  
 1  大川タケル#f91            0.8   1.1   1.2   1.8   0.6   1.5   1.0   0.7   0.9  
 1  桜井ボブ#482             0.8   1.1   2.0   1.2   0.6   0.9   1.0   0.5   0.7  
 0  榎本アキ#01c             0.8   0.9   1.0   1.5   0.7   1.8   1.2   0.6   0.5  
 0  風間カイトトウマ#101         0.8   0.9   0.7   1.8   1.0   1.5   1.2   0.6   0.5  
 0  石川ソラ#b94             0.8   1.0   1.0   1.5   1.2   1.4   0.6   0.7   0.6  
 0  小柳ハルト#10d            0.8   1.0   1.5   1.8   0.9   1.2   1.4   0.6   0.5  
 0  柏木ダイ#8f4             1.0   1.0   0.8   1.5   1.2   0.9   0.5   0.7   0.6  
 0  大川カイ#40f             0.8   0.8   2.0   1.0   0.7   1.2   0.9   0.6   0.7  
 0  風間ダイ#f7c             1.0   1.4   1.5   2.0   0.5   1.2   0.8   0.6   0.7  
 0  西森オト#ff3             1.0   1.0   1.5   2.0   0.5   1.2   0.8   0.6   0.5  
 0  榎本ソラ#3f3             0.8   0.8   1.2   1.8   1.5   1.4   0.5   0.5   0.5  
 0  石川ナギ#6c2             1.2   0.9   0.8   1.5   0.6   1.4   1.0   0.7   1.1  
 0  風間の子#38f             0.8   0.8   0.9   1.5   1.2   1.4   1.6   0.6   0.7  
 0  東雲ソラ#358             0.8   1.0   1.5   1.5   0.7   1.2   1.0   0.6   0.7  
 0  森野ミオ#e1a             0.8   1.0   1.5   1.0   0.6   1.0   0.7   1.2   0.9  
 0  大川オト#72a             1.0   1.0   1.2   1.8   0.6   1.4   0.8   0.5   0.7  
 0  榎本ハル#0c8             1.0   1.0   1.8   0.8   0.7   1.4   1.0   0.6   1.0  
 0  東雲エマ#e65             0.8   1.0   1.4   1.8   0.6   1.2   0.9   0.7   0.6  
 0  小柳ナギ#9e9             0.8   1.0   1.0   1.5   1.2   1.3   1.0   0.6   1.0  
 0  小柳ダイキ#9e7            0.8   1.0   1.5   1.8   0.6   1.4   1.2   0.7   0.9  
 0  浜田イオ#796             1.0   1.4   1.5   2.0   0.8   1.2   0.5   0.7   0.9  
 0  林ソラ#017              1.0   1.0   0.8   1.5   0.6   1.4   1.2   0.5   0.7  
 0  谷口ジン#e39             0.8   1.0   1.0   1.8   1.2   1.5   1.0   0.5   0.7  
 0  林カイ#48a              0.8   1.1   2.0   1.0   1.2   0.9   0.5   1.5   0.7  
 0  桜井コハル#d87            1.0   1.0   1.0   2.0   0.7   1.3   1.0   0.5   0.8  
 0  大川タケル#e00            0.8   0.9   1.4   1.6   0.7   1.5   1.3   0.6   1.2  
 0  石川エマ#0c5             0.8   1.0   1.2   1.8   0.6   1.5   1.0   0.7   0.9  
 0  風間エマ#b5b             1.0   1.0   1.5   1.8   0.8   1.4   0.7   0.9   0.6  
 0  川原コウ#cb6             0.8   0.9   1.0   1.5   0.7   1.4   1.2   0.6   0.9  

# 群平均
殺した(15人)         0.89  1.08  1.33  1.54  0.77  1.28  0.9   0.79  0.73 
殺していない(27人)      0.88  0.99  1.27  1.6   0.83  1.32  0.94  0.67  0.74 
